"project_status";"id";"naam";"startdatum";"ministerie";"peildatum.a";"rapportage_herijking.a";"actueel_einddatum.a";"daadwerkelijk_totaal_projectkosten.a";"actueel_totaal_projectkosten.a";"peildatum.z";"rapportage_herijking.z";"actueel_einddatum.z";"daadwerkelijk_totaal_projectkosten.z";"actueel_totaal_projectkosten.z";"doorlooptijd.z";"hex";"col";"verschil_abs";"verschil_per"
"In uitvoering";"408132";"Robuust Betalingsverkeer";2015-09-01;"Financiën";2019-04-01;"Initieel";2019-04-01;0;5,7;2019-12-31;"Herijking";2019-12-31;0,96;5,7;1582;"#A2A419";"moss green";-4,74;-83,1578947368421
"In uitvoering";"296511";"SAA A9 Gaasperdammerweg";2015-08-10;"Infrastructuur en Milieu";2020-12-31;"Initieel";2020-12-31;0;0;2020-12-31;"Rapportage";2020-12-31;0;0;1970;"#A2A419";"moss green";0;0
"In uitvoering";"295355";"Scherp & Efficiënt";2011-05-01;"Veiligheid en Justitie";2015-01-01;"Initieel";2015-01-01;0;7,78;2017-09-30;"Rapportage";2017-09-30;13,25;13,88;2344;"#A2A419";"moss green";5,47;70,3084832904884
"In uitvoering";"296661";"WNN NAT Projectcluster Constructies";2011-12-31;"Infrastructuur en Milieu";2016-12-31;"Initieel";2016-12-31;0;0;2017-07-22;"Herijking";2017-07-22;0;0;2030;"#A2A419";"moss green";0;0
"In uitvoering";"326575";"Programma iCAS";2016-09-07;"Infrastructuur en Milieu";2023-07-01;"Initieel";2023-07-01;0;152,55;2023-07-01;"Rapportage";2023-07-01;26,39;152,55;2488;"#A2A419";"moss green";-126,16;-82,7007538511963
"In uitvoering";"295300";"ToR (incl. Doorontwikkeling RADAR)";2013-01-01;"Veiligheid en Justitie";2015-12-31;"Initieel";2015-12-31;0;7,22;2017-03-31;"Rapportage";2017-03-31;7,68;7,68;1550;"#A2A419";"moss green";0,46;6,37119113573407
"In uitvoering";"300988";"UCC-MASP";2014-07-10;"Financiën";2020-12-31;"Initieel";2020-12-31;0;141;2021-12-31;"Rapportage";2021-12-31;5,63;141;2731;"#A2A419";"moss green";-135,37;-96,0070921985816
"In uitvoering";"406554";"Variabel Onderhoud Verkeerscentrale Noordwest Nede";2016-06-07;"Infrastructuur en Milieu";2019-06-30;"Initieel";2019-06-30;0;0;2019-06-30;"Rapportage";2019-06-30;0,33;0;1118;"#A2A419";"moss green";0,33;Inf
"In uitvoering";"294207";"Vast en Variabel Onderhoud Verkeerscentrale Rhoon";2014-04-04;"Infrastructuur en Milieu";2017-08-01;"Initieel";2017-08-01;0;9,09;2017-06-01;"Rapportage";2017-06-01;8,21;9,04;1154;"#A2A419";"moss green";-0,879999999999999;-9,68096809680967
"In uitvoering";"296311";"Vernieuwing Landelijk Meetnet Water (LMW2)";2015-10-05;"Infrastructuur en Milieu";2019-12-31;"Initieel";2019-12-31;0;0;2022-12-31;"Herijking";2022-12-31;0,92;0,92;2644;"#A2A419";"moss green";0,92;Inf
"In uitvoering";"294610";"Realisatie basis generieke incasso-arrangement";2014-01-01;"Veiligheid en Justitie";2016-02-01;"Initieel";2016-02-01;0;5,25;2017-02-01;"Rapportage";2017-02-01;6,11;6,11;1127;"#A2A419";"moss green";0,86;16,3809523809524
"In uitvoering";"408218";"Innen op Aangifte";2016-04-15;"Financiën";2019-12-31;"Initieel";2019-12-31;0;12,86;2019-12-31;"Rapportage";2019-12-31;3,22;12,86;1355;"#A2A419";"moss green";-9,64;-74,9611197511664
"In uitvoering";"330541";"IVC";2015-06-16;"Veiligheid en Justitie";2017-11-16;"Initieel";2017-11-16;0;167,61;2018-07-16;"Rapportage";2018-07-16;26,75;167,61;1126;"#A2A419";"moss green";-140,86;-84,0403317224509
"In uitvoering";"298454";"Klantoptimalisatie schenk- en erfbelasting (KOS)";2014-04-17;"Financiën";2016-07-01;"Initieel";2016-07-01;0;8,17;2018-07-01;"Herijking";2018-07-01;6,79;14,32;1536;"#A2A419";"moss green";-1,38;-16,891064871481
"In uitvoering";"359997";"KLIC-WIN (Kabels en Leidingen Informatie Centrum)";2015-02-02;"Infrastructuur en Milieu";2017-01-02;"Initieel";2017-01-02;0;4;2018-01-01;"Rapportage";2018-01-01;4,03;5,9;1064;"#A2A419";"moss green";0,0300000000000002;0,750000000000006
"In uitvoering";"293973";"KOERS";2015-07-01;"Infrastructuur en Milieu";2018-09-30;"Initieel";2018-09-30;0;15,4;2018-09-30;"Rapportage";2018-09-30;8,34;15,4;1187;"#A2A419";"moss green";-7,06;-45,8441558441558
"In uitvoering";"416225";"Prog. Cloudwerkplek: Vernieuwing Werkplekdiensten";2016-06-01;"Economische Zaken";2018-07-01;"Initieel";2018-07-01;0;45,4;2018-07-01;"Rapportage";2018-07-01;16,8;45,4;760;"#A2A419";"moss green";-28,6;-62,9955947136564
"In uitvoering";"377382";"vAKWerk";2016-11-08;"Sociale Zaken en Werkgelegenheid";2018-07-01;"Initieel";2018-07-01;0;8,82;2018-07-01;"Rapportage";2018-07-01;1,11;8,82;600;"#A2A419";"moss green";-7,71;-87,4149659863945
